census_tract,total_pop,white_pop,black_pop,asian_pop,median_income
17031803500,5640,5348,25,196,130933
17031803603,6445,4516,56,1514,179123
17031803604,4365,2985,66,661,82822
17031803605,6632,5036,496,747,84722
17031803607,4377,3766,31,207,108373
17031803608,7558,5481,720,560,87167
17031803611,6245,2684,446,589,68319
17031803612,3652,1913,286,332,62917
17031803613,3993,794,92,159,63714
17031803614,4542,2069,115,474,45288
17031803615,2386,1223,65,543,73917
17031803616,4970,3522,292,449,83535
17031803701,2693,1964,37,275,85326
17031803702,6371,5020,351,779,124023
17031803800,4378,3626,49,392,108500
17031803901,3736,2878,105,436,78608
17031803902,3570,2640,29,75,96417
17031804000,4832,3865,15,116,81804
17031804102,6839,5425,140,1036,145938
17031804104,5151,3367,25,1471,139583
17031804105,4173,3268,116,549,142866
17031804106,7361,4854,14,2030,130191
17031804108,4577,1518,408,1988,86420
17031804109,3284,2634,54,265,148393
17031804202,7815,4941,42,2628,159276
17031804203,3096,1850,0,1130,187768
17031804204,5507,3966,159,947,133542
17031804305,7627,3656,621,567,72250
17031804306,6114,3267,127,531,76708
17031804308,5200,3304,268,772,74762
17031804309,3056,1586,248,262,78041
17031804312,1783,992,0,791,142813
17031804313,6729,2964,565,1248,112750
17031804314,1375,1079,0,202,103487
17031804315,2665,1614,0,414,101754
17031804316,4926,3605,8,1045,102745
17031804403,6505,3755,139,691,81389
17031804404,5847,3376,154,254,85484
17031804405,3454,1281,475,307,70551
17031804406,5960,3069,453,539,80318
17031804505,3422,2465,88,281,71285
17031804506,5144,3364,106,869,119025
17031804508,2368,1325,198,315,61900
17031804509,6710,3326,292,548,86053
17031804510,5337,2244,293,300,72132
17031804511,2291,1043,190,399,59904
17031804512,3638,1867,376,1084,145487
17031804513,4033,2286,383,877,115067
17031804514,5637,2644,97,1942,95947
17031804603,6345,2724,708,1527,77807
17031804606,6435,4832,64,1238,120870
17031804607,7701,5101,94,1544,115994
17031804608,3536,1885,65,1135,113462
17031804609,6010,2775,159,2577,97489
17031804610,2548,1949,17,492,73125
17031804611,4135,3181,55,699,78889
17031804701,6202,2406,912,1465,73214
17031804705,4737,2525,494,1067,70759
17031804706,2320,1516,31,423,118333
17031804709,7930,4062,261,1941,82609
17031804710,3786,2770,153,647,95705
17031804711,8274,3706,1242,1881,73887
17031804712,5531,3161,993,1080,90653
17031804713,5064,2106,264,2215,86951
17031804714,3129,2183,0,627,90417
17031804715,3838,969,67,1543,53971
17031804716,4657,2170,114,1783,99500
17031804803,5568,3444,291,895,81023
17031804804,5950,3649,409,913,71789
17031804805,7230,4696,89,1289,100742
17031804806,3546,1884,409,334,81612
17031804807,5615,3893,69,472,93201
17031804808,2702,1803,76,227,122604
17031804809,4664,3795,74,595,100104
17031804810,6830,4834,413,839,73560
17031804901,6397,5562,135,334,124375
17031804902,6321,4831,51,975,113148
17031805001,4945,4607,0,96,124547
17031805002,7075,3928,208,1059,65301
17031805105,7336,4295,332,859,66642
17031805106,2864,2422,8,128,71948
17031805107,6574,2452,705,1545,64545
17031805108,6625,3551,664,1220,67724
17031805109,4695,3275,73,323,90000
17031805110,4498,3893,0,116,91688
17031805111,7939,3637,636,1361,65641
17031805112,3141,1745,17,1037,63906
17031805201,3965,2516,85,1161,100200
17031805202,3950,2363,149,1109,85000
17031805301,3073,1855,0,972,82974
17031805302,4050,2616,22,1174,95611
17031805401,4784,3745,85,595,84805
17031805402,4768,3965,72,530,92063
17031805501,3606,3051,112,135,114088
17031805502,4380,4154,10,89,134750
17031805600,4798,4418,81,155,155347
17031805701,5307,4967,49,142,144767
17031805702,2031,1849,0,73,141875
17031805801,2412,1981,8,170,110233
17031805802,5412,5041,42,168,117984
17031805901,4440,3060,220,607,79547
17031805902,6159,4458,74,968,117900
17031806001,5621,3083,160,1815,49842
17031806002,7078,3352,477,2772,60280
17031806004,9119,5572,105,2243,58369
17031806005,2918,573,41,1607,93018
17031806006,4722,2437,30,1632,64206
17031806102,4076,3097,187,625,92431
17031806103,5414,3639,53,857,92182
17031806104,4274,2011,815,1008,41354
17031806201,4767,3445,216,720,61621
17031806202,5191,3640,222,320,68376
17031806300,4490,3592,146,136,103171
17031806400,2322,1818,0,155,108529
17031806501,2422,1148,110,264,52279
17031806502,4144,2458,155,389,68500
17031806600,3459,2764,10,370,86739
17031806700,4334,3107,336,685,106528
17031806801,4421,2821,238,942,72861
17031806802,3239,1641,522,692,85813
17031806900,5742,2758,189,1573,71406
17031807000,5347,2562,976,1298,52986
17031807100,3906,2933,392,381,129766
17031807200,5850,2998,744,1497,93958
17031807300,8229,3533,640,3002,68932
17031807400,6952,3862,957,1544,79441
17031807500,3598,1938,139,1233,121144
17031807600,6373,3649,270,1954,86272
17031807700,5952,3171,500,1844,64569
17031807800,2706,1838,26,691,126927
17031807900,4150,3154,90,789,109808
17031808001,3915,2456,62,1074,101076
17031808002,5293,3358,36,1543,80730
17031808100,3892,3117,214,418,49946
17031808200,5889,3581,223,1560,85111
17031808301,5940,3274,20,2278,61034
17031808302,4836,2609,123,1859,70521
17031808400,4305,2537,29,1254,107700
17031808500,4489,3114,60,943,112361
17031808600,2272,1881,23,264,152833
17031808702,5519,3879,390,976,63333
17031808800,3955,3253,87,347,142750
17031808900,4245,3776,9,184,170089
17031809000,3973,3454,194,42,179609
17031809100,3264,2855,138,107,117500
17031809200,4578,902,2759,222,45709
17031809300,4852,2805,389,826,38385
17031809401,2831,2109,66,237,84844
17031809402,2807,1832,132,602,64318
17031809500,4211,2701,341,869,65594
17031809600,3426,1465,1200,124,52031
17031809700,4020,2127,963,248,127330
17031809800,2825,1891,399,216,87685
17031809900,2781,2219,77,291,112266
17031810000,5602,4641,144,431,110091
17031810100,4789,3175,607,394,88095
17031810200,6588,2486,2651,525,68398
17031810301,4799,2358,1177,283,81717
17031810302,3389,1851,919,170,97163
17031810400,5759,5271,65,156,125000
17031810501,5163,4721,33,175,77868
17031810502,6193,5257,128,296,79432
17031810600,4747,3350,69,547,64044
17031810701,4473,3362,0,197,55222
17031810702,4253,2723,99,182,66827
17031810800,5440,3359,46,307,89352
17031810900,6114,4183,295,220,47983
17031811000,4237,3494,18,155,94612
17031811100,6964,5064,5,0,60754
17031811200,5037,3536,0,155,73008
17031811301,4467,2794,112,70,64806
17031811302,4212,1999,232,48,52865
17031811401,5059,2243,52,288,77105
17031811402,3869,2897,13,111,67317
17031811500,6549,4416,0,99,83516
17031811600,6097,3804,111,691,55809
17031811701,3699,1702,75,346,64094
17031811702,5417,3368,159,183,49732
17031811800,5448,2790,127,75,85838
17031811900,6283,4921,365,380,145202
17031812000,5459,4959,107,178,126109
17031812100,4656,2907,1154,121,107133
17031812200,3916,2853,488,77,211354
17031812301,4902,3044,690,442,84432
17031812302,2900,2155,291,126,138092
17031812400,3276,2644,150,121,223125
17031812500,3401,2202,799,60,66720
17031812600,3554,1768,1176,299,63906
17031812700,3055,2093,611,170,72500
17031812801,3255,1786,935,241,65281
17031812802,2887,1750,620,176,87803
17031812900,4763,3629,656,134,140854
17031813000,4114,2475,1012,92,137344
17031813100,4903,2397,1097,588,115086
17031813200,4518,3212,387,312,141563
17031813301,3627,799,45,0,49500
17031813302,3075,455,156,0,50404
17031813400,8516,2595,180,81,62246
17031813500,6323,1957,442,77,64188
17031813600,5743,1245,9,19,61522
17031813701,3515,899,171,0,54853
17031813702,4702,846,640,49,73125
17031813801,3318,525,50,0,44080
17031813802,4648,1635,78,31,52379
17031813900,6889,1900,356,28,54036
17031814000,4472,1220,38,1,70294
17031814100,4459,918,63,122,44135
17031814200,7883,2161,105,9,58891
17031814300,4807,1229,86,10,47355
17031814400,7389,3674,93,24,57019
17031814500,5539,2126,216,34,74151
17031814600,6105,2522,666,286,84261
17031814700,5056,1990,121,226,76750
17031814800,5930,2583,724,248,58387
17031814900,5985,2252,1297,488,51529
17031815000,4009,1240,516,32,70505
17031815100,4973,1501,800,143,72347
17031815200,7554,3076,258,32,58568
17031815300,3737,1978,113,207,89071
17031815400,5319,3601,297,125,57868
17031815500,8292,2646,178,93,76929
17031815600,5546,4716,78,40,58709
17031815701,3900,3170,21,47,136994
17031815702,5287,4147,47,184,125115
17031815800,1776,1599,38,14,98920
17031815900,5126,2721,1574,319,73318
17031816000,3500,2352,665,175,91000
17031816100,5671,2992,1754,236,54602
17031816200,4457,2884,399,73,74281
17031816300,4941,2025,164,20,63973
17031816401,4124,1475,55,0,63326
17031816402,4861,1700,18,0,57279
17031816500,4109,1630,203,5,45705
17031816600,4407,1617,112,60,68154
17031816700,2929,1179,93,198,60531
17031816800,5492,2186,1425,129,73137
17031816900,6552,1032,3968,130,83077
17031817000,4855,432,3094,36,59236
17031817101,4415,181,3828,3,53902
17031817102,2956,186,2480,0,65186
17031817200,4173,374,3244,7,42880
17031817300,2694,432,1379,25,53950
17031817400,4238,1273,732,116,83404
17031817500,3424,766,2224,29,58480
17031817600,3528,392,2632,9,41495
17031817700,5490,293,4361,29,75072
17031817900,6019,773,4605,25,57320
17031818000,4120,1729,1756,204,47348
17031818100,2267,1554,176,92,110208
17031818200,4937,2205,2076,103,103906
17031818300,6217,1523,2953,199,69606
17031818401,3467,1750,1033,210,61667
17031818402,3202,2278,645,93,77667
17031818500,5453,4331,550,137,93161
17031818600,5101,4112,380,130,95404
17031818700,3914,3294,101,48,106063
17031818800,5410,4733,138,53,101771
17031818900,4371,3558,278,179,88203
17031819000,4649,4470,25,20,157188
17031819100,3967,2976,124,0,45205
17031819200,6857,4219,180,367,87722
17031819300,2603,2285,67,26,81993
17031819400,5814,4195,384,102,73333
17031819500,3648,2600,569,6,77475
17031819600,3983,3690,33,22,183068
17031819700,5629,5099,60,53,143542
17031819801,5313,5021,84,46,189861
17031819802,2488,2319,7,28,171250
17031819900,3232,3096,3,60,207692
17031820000,2107,1602,16,374,223250
17031820101,7915,6973,177,438,125607
17031820103,4161,3232,120,50,79108
17031820104,4450,3682,205,79,78088
17031820202,3386,2448,82,16,67664
17031820203,3626,3096,92,117,127823
17031820204,4273,3686,0,151,113218
17031820300,5721,3428,57,373,58529
17031820400,5377,2294,919,1,45515
17031820501,5408,4482,88,107,66194
17031820502,5886,4561,344,93,56108
17031820603,5900,3990,467,95,64243
17031820604,3345,3230,0,0,44462
17031820605,5470,1743,2766,488,50313
17031820606,4026,3325,133,83,88333
17031820700,7074,3605,32,56,61507
17031820800,3764,2680,43,5,76936
17031820901,5007,3678,112,19,66726
17031820902,6020,3700,232,249,95388
17031821001,4797,2638,238,193,53802
17031821002,5165,3977,144,87,64167
17031821101,4713,3467,40,129,76198
17031821102,4811,2739,47,205,72778
17031821200,5557,2342,2308,0,36502
17031821300,5614,2263,2004,95,43783
17031821401,2967,187,2662,0,50306
17031821402,3210,48,2874,0,61510
17031821500,1462,22,1331,0,23000
17031821600,4359,1751,2301,83,74847
17031821700,4956,3905,700,88,90938
17031821800,5310,3209,1284,39,78075
17031821900,5259,3712,725,213,93720
17031822000,4324,3592,66,41,52639
17031822101,4569,4228,118,35,70613
17031822102,4636,2372,902,159,65321
17031822200,3927,2756,115,58,80313
17031822301,3702,3146,61,47,88375
17031822302,4383,3517,236,271,58224
17031822400,6557,5522,239,188,54299
17031822500,4304,3506,229,32,81569
17031822601,4350,3982,81,64,76736
17031822602,7505,5088,1067,497,74231
17031822701,5000,3418,604,222,63990
17031822702,3490,2693,193,58,67568
17031822801,3214,2433,214,148,82742
17031822802,3750,3184,185,71,91691
17031822900,2050,1531,148,16,53750
17031823001,6774,4261,494,216,56234
17031823002,5611,4369,615,49,66486
17031823101,4312,3777,97,102,49425
17031823102,3854,2876,79,14,75210
17031823200,4753,3589,423,226,59899
17031823302,6038,2998,1719,112,49336
17031823303,4059,3230,317,0,78449
17031823304,6316,3811,1923,52,50739
17031823400,4817,2387,1110,75,58944
17031823500,4279,2960,791,18,57660
17031823602,6436,5571,336,209,72837
17031823603,2339,1075,754,0,64263
17031823604,3248,2954,11,87,106250
17031823605,4087,3564,277,41,87458
17031823702,5879,4670,789,202,79805
17031823703,9079,7455,309,534,62337
17031823704,3950,3250,247,29,94109
17031823705,4813,4128,133,75,65403
17031823801,5508,4407,165,509,110671
17031823803,7321,6785,222,191,75482
17031823805,3197,2703,72,61,56923
17031823806,4192,3380,142,295,51943
17031823901,4020,3417,112,62,113205
17031823903,4606,4293,120,0,106694
17031823904,3951,3644,2,19,106607
17031824003,6146,5550,7,104,103117
17031824004,4955,4551,223,131,96914
17031824005,5601,5312,32,119,127061
17031824006,5856,5329,19,203,150985
17031824105,7269,6034,99,593,102859
17031824106,6613,6080,207,214,93739
17031824107,7515,5993,392,107,79442
17031824113,6678,5588,116,206,108239
17031824114,5161,4020,166,835,124125
17031824115,4001,3534,89,309,88041
17031824116,5576,4228,547,423,69020
17031824119,5393,4737,176,186,95697
17031824121,3170,2861,36,49,85122
17031824122,6203,5409,245,178,102676
17031824123,7417,6040,261,179,87393
17031824124,2815,1766,499,194,82592
17031824125,4559,4145,81,131,110560
17031824126,5566,5220,0,259,155069
17031824127,3926,3486,68,85,104833
17031824128,4566,4280,166,14,87734
17031824129,4038,3692,114,80,88101
17031824300,4956,385,4450,22,34087
17031824400,1840,1277,401,23,42891
17031824503,5974,5085,314,136,72772
17031824505,6846,4822,312,822,66810
17031824507,3801,3205,152,73,81196
17031824508,3104,2638,192,32,63065
17031824509,5089,4467,267,138,105650
17031824601,4239,3600,176,62,82660
17031824602,6233,4789,383,237,68021
17031824701,3635,2543,364,40,52222
17031824702,5458,3301,470,0,53467
17031824800,7575,3610,1639,158,52211
17031824900,3071,1167,1765,0,40833
17031825000,4578,3055,369,454,66857
17031825200,2066,1228,306,116,79286
17031825302,5714,4314,726,220,85800
17031825303,4123,3301,337,32,70441
17031825304,4363,3793,13,158,85865
17031825400,5554,3862,374,278,71528
17031825501,5565,375,5096,39,54313
17031825503,6966,711,5854,83,62397
17031825504,3362,303,3023,0,66534
17031825505,5582,347,4853,248,63027
17031825600,5301,698,3803,41,48133
17031825700,4085,876,2594,16,50556
17031825801,3933,185,3548,6,41918
17031825802,7029,439,6352,41,62108
17031825803,5300,444,4738,0,54835
17031825900,3567,484,2559,0,56043
17031826000,2789,1330,834,0,56952
17031826100,5159,1630,3194,0,52797
17031826201,3583,438,2809,0,40684
17031826202,5622,1218,3919,32,44099
17031826301,4364,369,3756,14,64615
17031826303,3835,208,3562,0,58269
17031826304,2931,179,2600,0,49830
17031826401,3745,76,3562,13,51250
17031826402,4711,285,4225,6,44826
17031826500,5608,320,5136,21,46380
17031826600,5027,403,4091,0,40729
17031826700,4420,222,4183,3,34984
17031826800,5029,1832,1546,0,52658
17031826901,1734,242,1306,0,27845
17031826902,1445,209,1236,0,31544
17031827000,3660,86,3485,0,40012
17031827100,2061,234,1570,136,28942
17031827200,3536,1019,2271,0,52619
17031827300,2339,281,1628,132,22269
17031827400,2859,182,2231,0,30562
17031827500,4456,958,1852,12,53036
17031827600,2956,20,2840,0,41494
17031827700,2603,374,2007,2,47569
17031827801,5070,1087,3704,79,70081
17031827802,3093,271,2628,6,93036
17031827804,3174,388,2564,0,61289
17031827805,2767,276,2407,0,84345
17031827901,2121,173,1836,11,94904
17031827902,4232,1154,1983,524,53878
17031828000,5292,2479,2139,51,61330
17031828100,5635,2906,2214,17,57304
17031828201,3569,1343,1875,0,69224
17031828202,5188,1861,2716,61,51658
17031828300,3145,1595,1322,20,56336
17031828401,3650,2025,1360,32,71958
17031828402,3643,1428,1931,68,46645
17031828503,4749,1040,3257,21,51972
17031828504,5365,1339,3539,0,47745
17031828505,7111,2112,3704,78,90387
17031828507,3735,859,2399,0,86058
17031828508,4175,955,2925,0,47692
17031828601,4531,2787,1271,3,88407
17031828602,4306,1666,2276,74,101205
17031828701,4571,1251,3155,0,64643
17031828702,4079,927,2779,31,63811
17031828801,5109,2222,2225,142,104658
17031828802,3079,1880,474,0,77932
17031828900,3904,719,1985,10,61296
17031829000,976,4,905,0,30333
17031829100,3461,535,624,0,32054
17031829200,5590,2122,1741,11,51884
17031829301,4163,1694,2188,0,82863
17031829302,3471,637,1686,0,45369
17031829401,998,25,695,0,33333
17031829402,3126,666,2032,0,44922
17031829500,4022,1561,1321,0,45119
17031829600,2976,2173,167,22,52969
17031829700,3033,1030,1737,85,43862
17031829800,6131,2446,3131,43,126462
17031829902,7310,787,6498,25,82353
17031829903,4376,565,3649,108,69016
17031829904,4336,2011,2056,81,77852
17031830001,2239,1557,117,118,38197
17031830003,8399,382,7538,0,101078
17031830004,6785,729,5856,115,103333
17031830005,3938,750,3095,92,92917
17031830006,2734,404,2017,269,-666666666
17031830007,4828,422,4343,0,56852
17031830008,4261,274,3623,0,100260
17031830100,3304,352,2880,0,91875
17031830201,4841,509,4163,68,41250
17031830202,3721,1085,2559,12,77669
17031830300,5017,835,3803,64,50224
17031830400,3885,1025,2365,0,55783
17031830500,3988,1504,250,0,40736
17031830600,4959,2177,1009,319,59213
17031830700,4081,1979,1368,448,60432
17031830800,2612,2162,107,210,79534
17031830900,2953,2216,81,223,123083
17031831000,2232,2022,21,103,161958
17031831100,7706,5021,123,180,88217
17031831200,4855,1793,341,217,48605
17031831300,1080,56,254,21,46208
17031831400,2805,689,1724,180,35257
17031831500,3885,2422,391,131,66447
17031831600,7313,3567,701,236,51250
17031831700,2182,1393,44,171,40353
17031831800,6981,4116,280,1848,68885
17031831900,3262,2693,48,240,135354
17031832000,1774,1432,58,175,126875
17031832100,3581,2107,1099,112,84016
17031832200,2838,2510,70,97,136882
17031832300,1910,1494,96,103,117015
17031832400,3280,2632,239,192,122372
17031832500,3180,2685,131,106,149000
17031832600,4423,4013,28,158,187857
17031832900,1914,1066,62,733,70022
17031833000,5101,4133,231,445,172750
17031833100,7994,4997,615,1923,135313
17031833300,2843,1301,174,998,69659
17031833900,2817,639,1369,39,35822
17031834000,3146,21,2922,0,36346
17031834200,4988,10,4959,0,57994
17031834300,6442,19,5950,116,56699
17031834400,4045,285,3420,0,35093
17031834500,1434,12,1335,0,34261
17031834600,1587,225,1326,0,25000
17031834700,1094,15,1073,3,24412
17031834800,1737,107,1553,3,18973
17031834900,1012,10,962,0,16574
17031835000,5429,971,2310,44,29966
17031835100,4934,2828,854,21,43203
17031835200,2157,880,136,100,75750
17031835500,1375,52,1194,0,17454
17031835600,838,163,666,1,15043
17031835800,1785,26,1467,0,84904
17031836000,2784,107,2583,23,71776
17031836100,2000,179,1700,0,24306
17031836200,1569,997,124,347,137083
17031836300,1709,677,837,114,57643
17031836400,3891,147,3373,26,26563
17031836500,1730,176,1533,0,50208
17031836600,2329,1260,358,24,61726
17031836700,2259,322,1548,0,40060
17031836800,2634,124,2498,0,17778
17031836900,1879,178,1653,0,-666666666
17031837000,1865,221,1408,1,34688
17031837100,1654,345,1091,21,-666666666
17031837300,2710,114,2471,78,18364
17031837400,2204,148,1899,0,32284
17031837800,2529,658,1636,149,58148
17031838000,2612,680,1535,49,32833
17031838100,1571,593,848,51,15801
17031838200,2000,881,608,387,94464
17031838300,2080,1171,568,297,92118
17031838600,1658,141,1275,3,18976
17031838700,4056,197,3441,0,26105
17031838800,3101,867,1809,0,27143
17031839000,10155,6478,962,1666,103298
17031839100,8363,4417,996,2323,112257
17031839200,2473,453,1382,348,40533
17031839500,1552,259,797,132,-666666666
17031839600,1845,167,1578,0,59688
17031839700,5024,2626,80,1238,82670
17031839800,2703,1876,116,636,71750
17031839900,4759,2976,86,670,92759
17031840000,2731,1278,20,984,99342
17031840100,3116,1029,14,1892,60042
17031840200,2315,589,13,1403,42188
17031840300,3668,1001,117,1319,61131
17031840400,3427,1564,0,1541,66958
17031840700,4116,1079,145,111,76629
17031840800,3373,1009,41,0,43807
17031841000,1089,345,384,321,96000
17031841100,7065,811,112,6050,39356
17031841200,4455,1918,298,44,56667
17031841300,4333,1843,140,141,52246
17031841500,2255,109,2070,11,29250
17031841700,1123,152,412,0,17266
17031841800,2486,41,2285,0,45256
17031841900,6181,3523,1033,1201,120112
17031842000,3058,1229,1087,630,107000
17031842100,6797,1432,3419,173,45318
17031842200,3670,2540,417,347,90078
17031842300,3678,2641,573,214,156815
17031842400,3008,46,2861,56,46723
17031842500,2329,2,2232,48,23884
17031842600,4450,2518,312,462,81712
17031842800,6620,2915,0,222,39808
17031842900,2949,582,1709,131,28125
17031843000,2509,124,2377,0,22500
17031843100,1545,222,1174,13,42656
17031843200,2276,1253,104,37,58162
17031843300,1558,205,1055,25,21583
17031843400,1099,164,717,0,34212
17031843500,10528,2642,6944,14,33906
17031843600,3188,139,3001,10,50725
17031843700,2482,1723,87,204,161739
17031843800,1425,515,628,102,29844
17031843900,3288,258,2765,73,57682
17031844600,2490,118,2193,0,67634
17031844700,1573,114,1092,0,31898
17031980000,0,0,0,0,-666666666
17031980100,0,0,0,0,-666666666
17031990000,0,0,0,0,-666666666
