Model,Overall RMSE,Overall MAE,Fairness Gap (RMSE),Accuracy Cost (RMSE %),Fairness Gain (%)
Baseline,7.482306404412171,4.59852375661578,1.1369035644342604,0.0,0.0
Fairlearn (EG),7.668593117051055,4.719778578045329,0.5927183094378048,2.49,47.87
Reweighted,7.6798299762288655,4.709172790701285,0.4634130694937486,2.64,59.24
